basin,total_area
KAZ_CSEC,14032.291576999998
UZB_CSEC,7653.5198508779995
JPN_JAPN,66581.9767628629
HRV_AGBS,3774.6801756866994
UZB_AMDA,28030.728795907
BIH_DANU,2094.747057603
CHN_TARI,195872.329672585
ITA_IWCO,10230.3487417503
ESP_SPAC,6947.017186372501
MCO_FSCD,3.5718132816000003
ITA_TIBE,1797.3595074476
SMR_IECO,6.697149903000001
MNE_DANU,305.716934594
BGR_DANU,2970.2947772596003
USA_NACC,104871.211397518
BIH_AGBS,225.0947021
XKX_DANU,541.349181552
BGR_AGBS,3654.5247068
KGZ_SYRD,10175.076415827001
PRK_RSEC,920.2282456984
ESP_DOUR,4602.0114742999995
ESP_EBRO,6038.804963148003
MNE_AGBS,753.502787834
XKX_AGBS,177.608519546
GEO_BSSC,1822.7595704
KGZ_LKBH,1063.4255384
CHN_HHEE,109269.6916681822
PRT_SPAC,4480.2725547617
TUR_BSSC,29942.666825391403
GEO_CSSW,2748.3417279259997
TKM_CSEC,42142.5000493587
UZB_SYRD,6319.343941259001
KGZ_TARI,2389.3189835699
PRT_DOUR,1182.1776336359999
ESP_SSEC,20486.835586498804
ALB_AGBS,2101.6896484
MKD_AGBS,1896.5222804989999
GRC_AGBS,28148.202628476098
TUR_CSSW,2467.1857738230005
PRK_BHKN,2505.3086089114
PRK_NSKU,9329.280040106798
ESP_TAGU,5079.809029929001
ITA_MSII,11327.3613083251
AZE_CSSW,6955.103812088999
PRT_TAGU,1809.2755123225002
ARM_CSSW,939.9700196
TUR_MSEC,28078.799710201696
TUR_TIEU,17600.893961718008
TJK_SYRD,317.29385888499996
ESP_GUAD,2399.9420413000003
IRN_CSSW,16260.9502519349
PRT_GUAD,539.1692189048
TJK_AMDA,11382.738799762
ESP_GUDA,3534.404559921
TKM_AMDA,2454.9639756919996
IRN_TIEU,13802.627501625
KOR_NSKU,15002.319653200004
USA_GFCO,72477.21303076981
IRN_CSEC,11089.404564500303
AFG_AMDA,9958.8166991
CHN_CHIN,69858.5761456
DZA_MSCC,16797.948455827
TUN_MSCC,11849.4323961978
SYR_TIEU,8353.319154436
IRQ_TIEU,38106.780784324
IRN_CIRA,72797.41329042401
PAK_INDU,49946.554976507
MLT_MSII,750.8375977000002
SYR_EJSS,3498.8184485170004
MAR_MSCC,7696.5061449684
