Rbasin,G,Text
AFG_INDU,81861,c_bool(False)
AFG_INDU,82578,c_bool(False)
AFG_INDU,82579,c_bool(False)
AFG_INDU,83297,c_bool(False)
AFG_INDU,83298,c_bool(False)
AFG_INDU,83299,c_bool(False)
AFG_INDU,84017,c_bool(False)
AFG_INDU,84018,c_bool(False)
AFG_INDU,84019,c_bool(False)
AGO_ANGC,138629,c_bool(False)
AGO_ANGC,138630,c_bool(False)
AGO_ANGC,138631,c_bool(False)
AGO_ANGC,139347,c_bool(False)
AGO_ANGC,139348,c_bool(False)
AGO_ANGC,139349,c_bool(False)
AGO_ANGC,139350,c_bool(False)
AGO_ANGC,139351,c_bool(False)
AGO_ANGC,140066,c_bool(False)
AGO_ANGC,140067,c_bool(False)
AGO_ANGC,140068,c_bool(False)
AGO_ANGC,140069,c_bool(False)
AGO_ANGC,140070,c_bool(False)
AGO_ANGC,140071,c_bool(False)
AGO_ANGC,140787,c_bool(False)
AGO_ANGC,140788,c_bool(False)
AGO_ANGC,140789,c_bool(False)
AGO_ANGC,140790,c_bool(False)
AGO_ANGC,140791,c_bool(False)
AGO_ANGC,140792,c_bool(False)
AGO_ANGC,141507,c_bool(False)
AGO_ANGC,141508,c_bool(False)
AGO_ANGC,141509,c_bool(False)
AGO_ANGC,141510,c_bool(False)
AGO_ANGC,141511,c_bool(False)
AGO_ANGC,141512,c_bool(False)
AGO_ANGC,141513,c_bool(False)
AGO_ANGC,142227,c_bool(False)
AGO_ANGC,142228,c_bool(False)
AGO_ANGC,142229,c_bool(False)
AGO_ANGC,142230,c_bool(False)
AGO_ANGC,142231,c_bool(False)
AGO_ANGC,142232,c_bool(False)
AGO_ANGC,142233,c_bool(False)
AGO_ANGC,142234,c_bool(False)
AGO_ANGC,142947,c_bool(False)
AGO_ANGC,142948,c_bool(False)
AGO_ANGC,142949,c_bool(False)
AGO_ANGC,142950,c_bool(False)
AGO_ANGC,142951,c_bool(False)
AGO_ANGC,142952,c_bool(False)
AGO_ANGC,142953,c_bool(False)
AGO_ANGC,142954,c_bool(False)
AGO_ANGC,142955,c_bool(False)
AGO_ANGC,143667,c_bool(False)
AGO_ANGC,143668,c_bool(False)
AGO_ANGC,143669,c_bool(False)
AGO_ANGC,143670,c_bool(False)
AGO_ANGC,143671,c_bool(False)
AGO_ANGC,143672,c_bool(False)
AGO_ANGC,143673,c_bool(False)
AGO_ANGC,143674,c_bool(False)
AGO_ANGC,143675,c_bool(False)
AGO_ANGC,144387,c_bool(False)
AGO_ANGC,144388,c_bool(False)
AGO_ANGC,144389,c_bool(False)
AGO_ANGC,144390,c_bool(False)
AGO_ANGC,144391,c_bool(False)
AGO_ANGC,144392,c_bool(False)
AGO_ANGC,144393,c_bool(False)
AGO_ANGC,144394,c_bool(False)
AGO_ANGC,144395,c_bool(False)
AGO_ANGC,144396,c_bool(False)
AGO_ANGC,144397,c_bool(False)
AGO_ANGC,145108,c_bool(False)
AGO_ANGC,145109,c_bool(False)
AGO_ANGC,145110,c_bool(False)
AGO_ANGC,145111,c_bool(False)
AGO_ANGC,145112,c_bool(False)
AGO_ANGC,145113,c_bool(False)
AGO_ANGC,145114,c_bool(False)
AGO_ANGC,145115,c_bool(False)
AGO_ANGC,145116,c_bool(False)
AGO_ANGC,145117,c_bool(False)
AGO_ANGC,145828,c_bool(False)
AGO_ANGC,145829,c_bool(False)
AGO_ANGC,145830,c_bool(False)
AGO_ANGC,145831,c_bool(False)
AGO_ANGC,145832,c_bool(False)
AGO_ANGC,145833,c_bool(False)
AGO_ANGC,145834,c_bool(False)
AGO_ANGC,145835,c_bool(False)
AGO_ANGC,145836,c_bool(False)
AGO_ANGC,145837,c_bool(False)
AGO_ANGC,145838,c_bool(False)
AGO_ANGC,146548,c_bool(False)
AGO_ANGC,146549,c_bool(False)
AGO_ANGC,146550,c_bool(False)
AGO_ANGC,146551,c_bool(False)
AGO_ANGC,146552,c_bool(False)
AGO_ANGC,146553,c_bool(False)
AGO_ANGC,146554,c_bool(False)
AGO_ANGC,146555,c_bool(False)
AGO_ANGC,146556,c_bool(False)
AGO_ANGC,146557,c_bool(False)
AGO_ANGC,146558,c_bool(False)
AGO_ANGC,146559,c_bool(False)
AGO_ANGC,147268,c_bool(False)
AGO_ANGC,147269,c_bool(False)
AGO_ANGC,147270,c_bool(False)
AGO_ANGC,147271,c_bool(False)
AGO_ANGC,147272,c_bool(False)
AGO_ANGC,147273,c_bool(False)
AGO_ANGC,147274,c_bool(False)
AGO_ANGC,147275,c_bool(False)
AGO_ANGC,147276,c_bool(False)
AGO_ANGC,147277,c_bool(False)
AGO_ANGC,147278,c_bool(False)
AGO_ANGC,147986,c_bool(False)
AGO_ANGC,147987,c_bool(False)
AGO_ANGC,147988,c_bool(False)
AGO_ANGC,147989,c_bool(False)
AGO_ANGC,147990,c_bool(False)
AGO_ANGC,147991,c_bool(False)
AGO_ANGC,147992,c_bool(False)
AGO_ANGC,147993,c_bool(False)
AGO_ANGC,147994,c_bool(False)
AGO_ANGC,147995,c_bool(False)
AGO_ANGC,147996,c_bool(False)
AGO_ANGC,147997,c_bool(False)
AGO_ANGC,148706,c_bool(False)
AGO_ANGC,148707,c_bool(False)
AGO_ANGC,148708,c_bool(False)
AGO_ANGC,148709,c_bool(False)
AGO_ANGC,148710,c_bool(False)
AGO_ANGC,148711,c_bool(False)
AGO_ANGC,148712,c_bool(False)
AGO_ANGC,148713,c_bool(False)
AGO_ANGC,148714,c_bool(False)
AGO_ANGC,148715,c_bool(False)
AGO_ANGC,148716,c_bool(False)
AGO_ANGC,148717,c_bool(False)
AGO_ANGC,149425,c_bool(False)
AGO_ANGC,149426,c_bool(False)
AGO_ANGC,149427,c_bool(False)
AGO_ANGC,149428,c_bool(False)
AGO_ANGC,149429,c_bool(False)
AGO_ANGC,149430,c_bool(False)
AGO_ANGC,149431,c_bool(False)
AGO_ANGC,149432,c_bool(False)
AGO_ANGC,149433,c_bool(False)
AGO_ANGC,149435,c_bool(False)
AGO_ANGC,149436,c_bool(False)
AGO_ANGC,150145,c_bool(False)
AGO_ANGC,150146,c_bool(False)
AGO_ANGC,150147,c_bool(False)
AGO_ANGC,150148,c_bool(False)
AGO_ANGC,150149,c_bool(False)
