region,year,type,value
AUS_MRDA,2050,GL,10808.88993727684
AUS_MRDA,2050,CL,11657.099711838173
AUS_MRDA,2100,FRS,768.1786971684677
AUS_MRDA,2100,GL,10462.584516200492
AUS_MRDA,2100,CL,5515.475465693855
AUT_DANU,2005,FRS,3270.959054633483
AUT_DANU,2005,GL,1012.6597028901311
AUT_DANU,2005,CL,1124.2709028487732
AUT_DANU,2050,FRS,3125.225687478541
AUT_DANU,2050,GL,1019.5660506540272
AUT_DANU,2050,CL,1332.2721290619102
AUT_DANU,2100,FRS,2517.029533654835
AUT_DANU,2100,GL,994.032490683655
AUT_DANU,2100,CL,2716.437518600368
AZE_CSSW,2005,FRS,465.5406209111831
AZE_CSSW,2005,GL,2728.0471395869763
AZE_CSSW,2005,CL,1667.7373142916583
AZE_CSSW,2050,FRS,348.52269766722446
AZE_CSSW,2050,GL,2726.8900492903667
AZE_CSSW,2050,CL,1806.9962386451489
AZE_CSSW,2100,FRS,361.4467558654678
AZE_CSSW,2100,GL,2934.595823783729
AZE_CSSW,2100,CL,1772.7667688046276
BDI_CONG,2005,FRS,123.38034311611094
BDI_CONG,2005,GL,37.33551301600322
BDI_CONG,2005,CL,291.3058285169348
BDI_CONG,2050,FRS,15.115191105122992
BDI_CONG,2050,GL,33.93942654682884
BDI_CONG,2050,CL,293.1166288809412
BDI_CONG,2100,FRS,16.602951481332056
BDI_CONG,2100,GL,33.48048222017452
BDI_CONG,2100,CL,316.4255487501707
BDI_NILE,2005,FRS,127.56683576231885
BDI_NILE,2005,GL,58.53762864381921
BDI_NILE,2005,CL,556.8755957759097
BDI_NILE,2050,FRS,86.2120725126123
BDI_NILE,2050,GL,18.303319272077804
BDI_NILE,2050,CL,566.0212733962526
BDI_NILE,2100,FRS,91.49695979967314
BDI_NILE,2100,GL,24.51964577933875
BDI_NILE,2100,CL,541.1556836032674
BEL_MAAS,2005,FRS,284.0526679252812
BEL_MAAS,2005,GL,237.5035126571611
BEL_MAAS,2005,CL,162.8790076127018
BEL_MAAS,2050,FRS,309.0447015128057
BEL_MAAS,2050,GL,281.3392059730645
BEL_MAAS,2050,CL,93.94265867988526
BEL_MAAS,2100,FRS,343.73119041153933
BEL_MAAS,2100,GL,340.9764606667776
BEL_MAAS,2100,CL,36.56747547488347
BEL_SCHE,2005,FRS,84.2963024365359
BEL_SCHE,2005,GL,340.1698801080416
BEL_SCHE,2005,CL,367.04831791383504
BEL_SCHE,2050,FRS,53.77556916693312
BEL_SCHE,2050,GL,415.4657340491357
BEL_SCHE,2050,CL,248.88881154747432
BEL_SCHE,2100,FRS,81.80469235362553
BEL_SCHE,2100,GL,449.34566581837447
BEL_SCHE,2100,CL,110.643454732856
BEN_AFWC,2005,FRS,1443.2819470756922
BEN_AFWC,2005,GL,1611.080179077293
BEN_AFWC,2005,CL,1011.2057748897752
BEN_AFWC,2050,FRS,782.1354709974556
BEN_AFWC,2050,GL,1409.891154351491
BEN_AFWC,2050,CL,1223.9411826291985
BEN_AFWC,2100,GL,103.54216344642676
BEN_AFWC,2100,CL,891.1020178445033
BEN_NIGE,2005,FRS,1450.6738666871445
BEN_NIGE,2005,GL,1168.8244032305977
BEN_NIGE,2005,CL,814.6494383415361
BEN_NIGE,2050,FRS,1350.2515088161829
BEN_NIGE,2050,GL,997.1760743401557
BEN_NIGE,2050,CL,997.4471388168568
BEN_NIGE,2100,FRS,220.76809217295963
BEN_NIGE,2100,GL,391.6941722579972
BEN_NIGE,2100,CL,1109.056128386704
BEN_VOLT,2005,FRS,373.2652925009671
BEN_VOLT,2005,GL,388.1533764199441
BEN_VOLT,2005,CL,197.4709410975661
BEN_VOLT,2050,FRS,329.4883276404035
BEN_VOLT,2050,GL,333.13435019623574
BEN_VOLT,2050,CL,282.4040906565481
BEN_VOLT,2100,FRS,0.33859336929259
BEN_VOLT,2100,GL,202.07573276780744
BEN_VOLT,2100,CL,315.257607138621
BFA_AFWC,2005,FRS,313.0204023986906
BFA_AFWC,2005,GL,479.2428729577024
BFA_AFWC,2005,CL,188.01414732066905
BFA_AFWC,2050,FRS,60.57736790384607
BFA_AFWC,2050,GL,191.5102661416395
BFA_AFWC,2050,CL,355.89975899029514
BFA_AFWC,2100,CL,252.20958767398352
BFA_NIGE,2005,FRS,1651.958373607057
BFA_NIGE,2005,GL,2363.212756739245
BFA_NIGE,2005,CL,743.0620962782061
BFA_NIGE,2050,FRS,566.3401986603471
BFA_NIGE,2050,GL,722.8303923733552
BFA_NIGE,2050,CL,1029.5463256968949
BFA_NIGE,2100,FRS,141.58744000261316
BFA_NIGE,2100,GL,188.9666216308451
BFA_NIGE,2100,CL,1002.3301401318454
BFA_VOLT,2005,FRS,3888.6108853568144
BFA_VOLT,2005,GL,5345.633410645128
BFA_VOLT,2005,CL,2749.5953655418284
BFA_VOLT,2050,FRS,1972.359691597698
BFA_VOLT,2050,GL,1410.6801564154978
BFA_VOLT,2050,CL,4428.213614228011
BFA_VOLT,2100,FRS,892.2158251536266
BFA_VOLT,2100,GL,585.5797537650012
BFA_VOLT,2100,CL,4554.53396510233
BGD_BBCN,2005,FRS,898.532617668418
BGD_BBCN,2005,GL,108.2499624358253
BGD_BBCN,2005,CL,239.67055364770744
BGD_BBCN,2050,FRS,748.845437362399
BGD_BBCN,2050,GL,112.267902557751
BGD_BBCN,2050,CL,253.15178025511432
BGD_BBCN,2100,FRS,807.2179082332962
BGD_BBCN,2100,GL,125.1051315061026
BGD_BBCN,2100,CL,220.176022418554
BGD_GABR,2005,FRS,2391.652895486492
BGD_GABR,2005,GL,618.0001189181269
BGD_GABR,2005,CL,6619.9480643105
BGD_GABR,2050,FRS,1827.6112759778755
BGD_GABR,2050,GL,707.3697923734024
BGD_GABR,2050,CL,7447.968319311874
BGD_GABR,2100,FRS,2007.194059309612
BGD_GABR,2100,GL,727.7310955261916
BGD_GABR,2100,CL,7075.9524621116425
BGR_AGBS,2005,FRS,1842.6828615743436
BGR_AGBS,2005,GL,1233.8498517243822
BGR_AGBS,2005,CL,1262.933374212167
BGR_AGBS,2050,FRS,1804.642492803115
BGR_AGBS,2050,GL,1211.1630010643737
BGR_AGBS,2050,CL,1630.0775337469072
