RISO,G,Text
AFG,84733,c_bool(False)
AFG,84734,c_bool(False)
AFG,84735,c_bool(False)
AFG,84736,c_bool(False)
AFG,85444,c_bool(False)
AFG,85445,c_bool(False)
AFG,85446,c_bool(False)
AFG,85447,c_bool(False)
AFG,85448,c_bool(False)
AFG,85449,c_bool(False)
AFG,85450,c_bool(False)
AFG,85451,c_bool(False)
AFG,85452,c_bool(False)
AFG,85453,c_bool(False)
AFG,86163,c_bool(False)
AFG,86164,c_bool(False)
AFG,86165,c_bool(False)
AFG,86166,c_bool(False)
AFG,86167,c_bool(False)
AFG,86168,c_bool(False)
AFG,86169,c_bool(False)
AFG,86170,c_bool(False)
AFG,86171,c_bool(False)
AFG,86172,c_bool(False)
AFG,86173,c_bool(False)
AFG,86882,c_bool(False)
AFG,86883,c_bool(False)
AFG,86884,c_bool(False)
AFG,86885,c_bool(False)
AFG,86886,c_bool(False)
AFG,86887,c_bool(False)
AFG,86888,c_bool(False)
AFG,86889,c_bool(False)
AFG,86890,c_bool(False)
AFG,86891,c_bool(False)
AFG,86892,c_bool(False)
AFG,86893,c_bool(False)
AFG,87605,c_bool(False)
AFG,87606,c_bool(False)
AFG,87608,c_bool(False)
AFG,87609,c_bool(False)
ALB,68080,c_bool(False)
ALB,68081,c_bool(False)
ALB,68799,c_bool(False)
ALB,68800,c_bool(False)
ALB,68801,c_bool(False)
ALB,68802,c_bool(False)
ALB,69519,c_bool(False)
ALB,69520,c_bool(False)
ALB,69521,c_bool(False)
ALB,69522,c_bool(False)
ALB,70239,c_bool(False)
ALB,70240,c_bool(False)
ALB,70241,c_bool(False)
ALB,70242,c_bool(False)
ALB,70959,c_bool(False)
ALB,70960,c_bool(False)
ALB,70961,c_bool(False)
ALB,70962,c_bool(False)
ALB,70963,c_bool(False)
ALB,71679,c_bool(False)
ALB,71680,c_bool(False)
ALB,71681,c_bool(False)
ALB,71682,c_bool(False)
ALB,72400,c_bool(False)
ALB,72401,c_bool(False)
DZA,75973,c_bool(False)
DZA,75974,c_bool(False)
DZA,75975,c_bool(False)
DZA,75976,c_bool(False)
DZA,76683,c_bool(False)
DZA,76684,c_bool(False)
DZA,76685,c_bool(False)
DZA,76686,c_bool(False)
DZA,76687,c_bool(False)
