variable,country,year,area
basin_forest,CYM,2005,0.0
basin_forest,DOM,2005,1554.5450598035827
basin_forest,JAM,2005,533.4597344902788
basin_forest,PRI,2005,0.0
basin_forest,VGB,2005,0.0
basin_forest,YEM,2005,92.65063857825282
basin_forest,MNP,2005,0.0
basin_forest,BLZ,2005,914.7162098600975
basin_forest,VIR,2005,0.0
basin_forest,GTM,2005,6204.314358953372
basin_forest,ATG,2005,0.0
basin_forest,ERI,2005,18.01621807258835
basin_forest,KNA,2005,0.0
basin_forest,CPV,2005,0.0
basin_forest,HND,2005,7076.429289613972
basin_forest,SEN,2005,8643.762494463843
basin_forest,DMA,2005,0.0
basin_forest,NIC,2005,6287.591845260688
basin_forest,BFA,2005,6806.403556517351
basin_forest,MHL,2005,0.0
basin_forest,SLV,2005,491.0966839020519
basin_forest,LCA,2005,0.0
basin_forest,ETH,2005,13243.93877151731
basin_forest,KHM,2005,10270.115578288725
basin_forest,GMB,2005,349.6923580067629
basin_forest,NGA,2005,6912.89588786543
basin_forest,GUM,2005,0.0
basin_forest,COL,2005,68980.94100847618
basin_forest,VCT,2005,0.0
basin_forest,BRB,2005,0.0
basin_forest,ABW,2005,0.0
basin_forest,GRD,2005,0.0
basin_forest,CMR,2005,28956.76716824396
basin_forest,DJI,2005,71.83358715370188
basin_forest,VEN,2005,52645.32250401912
basin_forest,GNB,2005,669.3405726859258
basin_forest,GIN,2005,8048.922015555238
basin_forest,BEN,2005,4374.8468193411245
basin_forest,SSD,2005,1784.2375899619306
basin_forest,SOM,2005,0.0
basin_forest,TTO,2005,371.78458039330735
basin_forest,CRI,2005,2666.5033983282074
basin_forest,GHA,2005,320.1975853276938
basin_forest,TGO,2005,1230.349864150152
basin_forest,CAF,2005,24673.215206858946
basin_forest,CIV,2005,2945.4828359956746
basin_forest,PAN,2005,4321.844842368982
basin_forest,SLE,2005,2721.1833771275888
basin_forest,LKA,2005,2282.079687515241
basin_forest,FSM,2005,0.0
basin_forest,GUY,2005,18628.063509280393
basin_forest,LBR,2005,6472.669536994257
basin_forest,PLW,2005,0.0
basin_forest,MYS,2005,22958.648218175233
basin_forest,MDV,2005,0.0
basin_forest,SUR,2005,14601.488072427837
basin_forest,IDN,2005,119466.46273965863
basin_forest,COD,2005,157456.13831933425
basin_forest,BRN,2005,232.17836904144303
basin_forest,BRA,2005,450173.9977446529
basin_forest,KEN,2005,1892.035996027897
basin_forest,KIR,2005,0.0
basin_forest,GNQ,2005,288.23957385064836
basin_forest,UGA,2005,549.2695943578949
basin_forest,COG,2005,21708.565181793794
basin_forest,GAB,2005,21278.531238957046
basin_forest,STP,2005,0.0
basin_forest,ECU,2005,14828.406846341983
basin_forest,SGP,2005,0.0
basin_forest,PER,2005,74927.47369947829
