17region,year,yield_region
XAF,2030,1.4218791757273932
XAF,2040,1.5481653163910625
XAF,2050,1.6685377485936244
XAF,2060,1.7760883267921759
XAF,2070,1.889129981321169
XAF,2080,2.0048708983819568
XAF,2090,2.0941754627211324
XAF,2100,2.179343860022732
XE25,2005,5.213698496147536
XE25,2010,5.404782308316578
XE25,2020,5.5674773597530836
XE25,2030,5.650430679964555
XE25,2040,5.690923487626356
XE25,2050,5.744918043294545
XE25,2060,5.80220631894609
XE25,2070,5.861118901655301
XE25,2080,5.905784502227711
XE25,2090,5.9345832167018315
XE25,2100,5.954845722765712
XER,2005,2.4544030442885028
XER,2010,2.513459481474235
XER,2020,2.595214213643777
XER,2030,2.6148583796692573
XER,2040,2.629718031915463
XER,2050,2.6357912152537866
XER,2060,2.6198430285021783
XER,2070,2.595749894954626
XER,2080,2.5739073287468015
XER,2090,2.5428728836695336
XER,2100,2.5306011848219807
XLM,2005,3.8093675336266695
XLM,2010,4.080565738754271
XLM,2020,4.322704411542943
XLM,2030,4.447076971123721
XLM,2040,4.528134111223993
XLM,2050,4.572592312534772
XLM,2060,4.66958706028366
XLM,2070,4.751149194162642
XLM,2080,4.831251617221135
XLM,2090,4.874084947690486
XLM,2100,4.928937105366899
XME,2005,2.0545974800279776
XME,2010,2.326083732129218
XME,2020,2.2466565314705984
XME,2030,2.345876225524232
XME,2040,2.4566565420442896
XME,2050,2.4969253834959537
XME,2060,2.492569241710468
XME,2070,2.5323084458313216
XME,2080,2.6060274390051683
XME,2090,2.693525889386724
XME,2100,2.7388122838570763
XNF,2005,2.2684149435420204
XNF,2010,2.3274833524674183
XNF,2020,2.544656963940052
XNF,2030,2.5624104876679508
XNF,2040,2.6910393640255905
XNF,2050,2.821366668841656
XNF,2060,2.984519036033342
XNF,2070,3.066535461633173
XNF,2080,3.146079004757639
XNF,2090,3.3190063542934967
XNF,2100,3.412913805694216
XOC,2005,1.8835378589272875
XOC,2010,1.9459347077389708
XOC,2020,2.1986241056074003
XOC,2030,2.284876914905776
XOC,2040,2.4645570487931234
XOC,2050,2.5249148271971427
XOC,2060,2.591052538783223
XOC,2070,2.7984717998826
XOC,2080,3.1093936381037617
XOC,2090,3.4127079535222133
XOC,2100,3.5187645098697082
XSA,2005,2.0292957503131372
XSA,2010,2.051266211441221
XSA,2020,2.141596537210635
XSA,2030,2.1960798438294598
XSA,2040,2.1848709571777563
XSA,2050,2.223116274701165
XSA,2060,2.241032297513176
XSA,2070,2.2411412931935124
XSA,2080,2.272333735739594
XSA,2090,2.312808332276606
XSA,2100,2.332768276972322
XSE,2005,3.221082528796301
XSE,2010,3.639874772139999
XSE,2020,3.947842595149538
XSE,2030,4.301655578059033
XSE,2040,4.661953202070567
XSE,2050,4.915715976352607
XSE,2060,5.186051504453081
XSE,2070,5.3928187939969545
XSE,2080,5.467578542761176
XSE,2090,5.484230000066166
XSE,2100,5.4894638178811554
