basin,year,land,Value
AFG_HELM,2080,CROP_FLW,3.991
AFG_HELM,2080,PDR,2.553
AFG_HELM,2080,WHT,2.792
AFG_HELM,2080,GRO,1.702
AFG_HELM,2080,OSD,6.348
AFG_HELM,2080,C_B,11.702
AFG_HELM,2080,OTH_A,1.258
AFG_HELM,2080,CEREAL,2.598
AFG_HELM,2090,CROP_FLW,3.881
AFG_HELM,2090,PDR,2.695
AFG_HELM,2090,WHT,3.047
AFG_HELM,2090,GRO,1.78
AFG_HELM,2090,OSD,6.334
AFG_HELM,2090,C_B,11.69
AFG_HELM,2090,OTH_A,1.276
AFG_HELM,2090,CEREAL,2.802
AFG_HELM,2100,CROP_FLW,3.806
AFG_HELM,2100,PDR,2.91
AFG_HELM,2100,WHT,3.14
AFG_HELM,2100,GRO,1.822
AFG_HELM,2100,OSD,6.48
AFG_HELM,2100,C_B,11.681
AFG_HELM,2100,OTH_A,1.281
AFG_HELM,2100,CEREAL,2.886
AFG_INDU,2005,CROP_FLW,4.453
AFG_INDU,2005,PDR,2.993
AFG_INDU,2005,WHT,1.648
AFG_INDU,2005,GRO,1.371
AFG_INDU,2005,OSD,2.348
AFG_INDU,2005,OTH_A,1.656
AFG_INDU,2005,CEREAL,1.675
AFG_INDU,2010,CROP_FLW,4.421
AFG_INDU,2010,PDR,3.714
AFG_INDU,2010,WHT,1.705
AFG_INDU,2010,GRO,1.556
AFG_INDU,2010,OSD,2.648
AFG_INDU,2010,OTH_A,1.656
AFG_INDU,2010,CEREAL,1.848
AFG_INDU,2020,CROP_FLW,4.307
AFG_INDU,2020,PDR,4.218
AFG_INDU,2020,WHT,1.863
AFG_INDU,2020,GRO,1.577
AFG_INDU,2020,OSD,2.869
AFG_INDU,2020,OTH_A,1.788
AFG_INDU,2020,CEREAL,1.983
AFG_INDU,2030,CROP_FLW,4.295
AFG_INDU,2030,PDR,4.264
AFG_INDU,2030,WHT,1.966
AFG_INDU,2030,GRO,1.616
AFG_INDU,2030,OSD,2.914
AFG_INDU,2030,OTH_A,1.817
AFG_INDU,2030,CEREAL,2.06
AFG_INDU,2040,CROP_FLW,4.294
AFG_INDU,2040,PDR,4.403
AFG_INDU,2040,WHT,1.977
AFG_INDU,2040,GRO,1.611
AFG_INDU,2040,OSD,2.928
AFG_INDU,2040,OTH_A,1.793
AFG_INDU,2040,CEREAL,2.08
AFG_INDU,2050,CROP_FLW,4.294
AFG_INDU,2050,PDR,4.505
AFG_INDU,2050,WHT,1.972
AFG_INDU,2050,GRO,1.596
AFG_INDU,2050,OSD,2.947
AFG_INDU,2050,OTH_A,1.735
AFG_INDU,2050,CEREAL,2.08
AFG_INDU,2060,CROP_FLW,4.142
AFG_INDU,2060,PDR,5.043
AFG_INDU,2060,WHT,2.088
AFG_INDU,2060,GRO,1.729
