basin,year,land,Value
XE25,2042,GRO,5.530
XE25,2042,OSD,2.682
XE25,2042,C_B,105.643
XE25,2042,OTH_A,18.486
XE25,2042,CEREAL,5.667
XE25,2043,CROP_FLW,5.677
XE25,2043,PDR,6.197
XE25,2043,WHT,5.785
XE25,2043,GRO,5.531
XE25,2043,OSD,2.682
XE25,2043,C_B,106.556
XE25,2043,OTH_A,18.496
XE25,2043,CEREAL,5.672
XE25,2044,CROP_FLW,5.684
XE25,2044,PDR,6.198
XE25,2044,WHT,5.794
XE25,2044,GRO,5.533
XE25,2044,OSD,2.682
XE25,2044,C_B,107.477
XE25,2044,OTH_A,18.505
XE25,2044,CEREAL,5.678
XE25,2045,CROP_FLW,5.692
XE25,2045,PDR,6.199
XE25,2045,WHT,5.804
XE25,2045,GRO,5.534
XE25,2045,OSD,2.682
XE25,2045,C_B,108.406
XE25,2045,OTH_A,18.514
XE25,2045,CEREAL,5.683
XE25,2046,CROP_FLW,5.699
XE25,2046,PDR,6.199
XE25,2046,WHT,5.813
XE25,2046,GRO,5.535
XE25,2046,OSD,2.682
XE25,2046,C_B,109.344
XE25,2046,OTH_A,18.523
XE25,2046,CEREAL,5.689
XE25,2047,CROP_FLW,5.707
XE25,2047,PDR,6.200
XE25,2047,WHT,5.823
XE25,2047,GRO,5.536
XE25,2047,OSD,2.682
XE25,2047,C_B,110.289
XE25,2047,OTH_A,18.532
XE25,2047,CEREAL,5.695
XE25,2048,CROP_FLW,5.714
XE25,2048,PDR,6.201
XE25,2048,WHT,5.832
XE25,2048,GRO,5.537
XE25,2048,OSD,2.682
XE25,2048,C_B,111.242
XE25,2048,OTH_A,18.541
XE25,2048,CEREAL,5.700
XE25,2049,CROP_FLW,5.721
XE25,2049,PDR,6.202
XE25,2049,WHT,5.842
XE25,2049,GRO,5.538
XE25,2049,OSD,2.682
XE25,2049,C_B,112.204
XE25,2049,OTH_A,18.550
XE25,2049,CEREAL,5.706
XE25,2050,CROP_FLW,5.729
XE25,2050,PDR,6.203
XE25,2050,WHT,5.851
