region_name,year,type,basin_value,region_value,diff_region-basin,area,diff/area
ARM_CSSW,2050,FRS,16.616,236.601,219.986,2955.943569062315,0.074
ARM_CSSW,2050,GL,463.472,293.431,-170.041,2955.943569062315,-0.058
ARM_CSSW,2100,CL,64.454,234.032,169.578,2955.943569062315,0.057
ARM_CSSW,2100,FRS,20.482,251.801,231.320,2955.943569062315,0.078
ARM_CSSW,2100,GL,491.772,234.832,-256.939,2955.943569062315,-0.087
ATG_CARI,2005,CL,0.000,0.000,0.000,41.02079777266501,0.000
ATG_CARI,2005,FRS,0.000,0.000,0.000,41.02079777266501,0.000
ATG_CARI,2005,GL,0.844,4.341,3.497,41.02079777266501,0.085
ATG_CARI,2050,CL,0.000,0.000,0.000,41.02079777266501,0.000
ATG_CARI,2050,FRS,0.000,0.000,0.000,41.02079777266501,0.000
ATG_CARI,2050,GL,0.784,4.262,3.478,41.02079777266501,0.085
ATG_CARI,2100,CL,0.000,0.000,0.000,41.02079777266501,0.000
ATG_CARI,2100,FRS,0.000,0.000,0.000,41.02079777266501,0.000
ATG_CARI,2100,GL,0.631,3.541,2.910,41.02079777266501,0.071
AUS_AEAC,2005,CL,5965.435,4533.548,-1431.887,79897.87005700584,-0.018
AUS_AEAC,2005,FRS,9981.897,14038.239,4056.343,79897.87005700584,0.051
AUS_AEAC,2005,GL,26240.637,21578.053,-4662.583,79897.87005700584,-0.058
AUS_AEAC,2050,CL,7165.362,3955.313,-3210.049,79897.87005700584,-0.040
AUS_AEAC,2050,FRS,6589.679,8453.661,1863.982,79897.87005700584,0.023
AUS_AEAC,2050,GL,37950.038,40457.596,2507.559,79897.87005700584,0.031
AUS_AEAC,2100,CL,3485.615,1799.481,-1686.134,79897.87005700584,-0.021
AUS_AEAC,2100,FRS,4100.033,3021.633,-1078.400,79897.87005700584,-0.013
AUS_AEAC,2100,GL,46597.669,50907.791,4310.122,79897.87005700584,0.054
AUS_AINT,2005,CL,332.875,656.903,324.029,305459.0662668637,0.001
AUS_AINT,2005,FRS,238.431,0.000,-238.431,305459.0662668637,-0.001
AUS_AINT,2005,GL,86183.310,99320.324,13137.014,305459.0662668637,0.043
AUS_AINT,2050,CL,314.636,1037.098,722.461,305459.0662668637,0.002
AUS_AINT,2050,FRS,223.163,0.000,-223.163,305459.0662668637,-0.001
AUS_AINT,2050,GL,103221.312,111804.698,8583.386,305459.0662668637,0.028
AUS_AINT,2100,CL,67.555,345.808,278.252,305459.0662668637,0.001
AUS_AINT,2100,FRS,223.203,0.000,-223.203,305459.0662668637,-0.001
AUS_AINT,2100,GL,103172.480,113539.972,10367.493,305459.0662668637,0.034
AUS_ASCO,2005,CL,3263.948,3463.600,199.653,48816.736061866686,0.004
AUS_ASCO,2005,FRS,0.000,65.585,65.585,48816.736061866686,0.001
AUS_ASCO,2005,GL,11126.282,12012.933,886.650,48816.736061866686,0.018
AUS_ASCO,2050,CL,2301.215,2229.970,-71.245,48816.736061866686,-0.001
AUS_ASCO,2050,FRS,0.000,2.725,2.725,48816.736061866686,0.000
AUS_ASCO,2050,GL,14602.214,15656.785,1054.571,48816.736061866686,0.022
AUS_ASCO,2100,CL,855.145,274.457,-580.688,48816.736061866686,-0.012
AUS_ASCO,2100,FRS,0.000,6.367,6.367,48816.736061866686,0.000
AUS_ASCO,2100,GL,14840.322,18535.884,3695.561,48816.736061866686,0.076
AUS_AUNC,2005,CL,651.170,172.082,-479.088,168767.7567450016,-0.003
AUS_AUNC,2005,FRS,3347.304,2191.302,-1156.002,168767.7567450016,-0.007
AUS_AUNC,2005,GL,92305.340,90225.742,-2079.598,168767.7567450016,-0.012
AUS_AUNC,2050,CL,920.657,2078.475,1157.818,168767.7567450016,0.007
AUS_AUNC,2050,FRS,2021.899,1629.016,-392.883,168767.7567450016,-0.002
AUS_AUNC,2050,GL,106763.472,99247.809,-7515.663,168767.7567450016,-0.045
AUS_AUNC,2100,CL,476.402,1550.224,1073.822,168767.7567450016,0.006
AUS_AUNC,2100,FRS,2081.674,1587.382,-494.292,168767.7567450016,-0.003
AUS_AUNC,2100,GL,106832.101,100892.920,-5939.181,168767.7567450016,-0.035
AUS_AWEC,2005,CL,7640.719,8574.522,933.802,73711.90349204956,0.013
AUS_AWEC,2005,FRS,1395.428,2367.615,972.187,73711.90349204956,0.013
AUS_AWEC,2005,GL,46780.814,46493.178,-287.636,73711.90349204956,-0.004
AUS_AWEC,2050,CL,4854.643,7716.701,2862.059,73711.90349204956,0.039
AUS_AWEC,2050,FRS,1275.141,1070.328,-204.813,73711.90349204956,-0.003
AUS_AWEC,2050,GL,53062.099,53994.057,931.958,73711.90349204956,0.013
AUS_AWEC,2100,CL,1860.802,3424.738,1563.937,73711.90349204956,0.021
AUS_AWEC,2100,FRS,1176.806,783.530,-393.275,73711.90349204956,-0.005
AUS_AWEC,2100,GL,54373.366,57992.597,3619.232,73711.90349204956,0.049
AUS_MRDA,2005,CL,13388.360,13764.277,375.917,92910.76372394356,0.004
AUS_MRDA,2005,FRS,1166.678,1708.411,541.733,92910.76372394356,0.006
AUS_MRDA,2005,GL,49656.150,42208.466,-7447.683,92910.76372394356,-0.080
AUS_MRDA,2050,CL,12459.374,11089.425,-1369.949,92910.76372394356,-0.015
AUS_MRDA,2050,FRS,957.324,1137.658,180.333,92910.76372394356,0.002
AUS_MRDA,2050,GL,64925.635,70403.869,5478.234,92910.76372394356,0.059
AUS_MRDA,2100,CL,5846.469,5423.995,-422.474,92910.76372394356,-0.005
AUS_MRDA,2100,FRS,838.855,390.443,-448.412,92910.76372394356,-0.005
AUS_MRDA,2100,GL,72126.284,79086.244,6959.960,92910.76372394356,0.075
AUS_NZLZ,2005,CL,0.000,0.000,0.000,,
AUS_NZLZ,2005,FRS,0.000,0.000,0.000,,
AUS_NZLZ,2005,GL,0.000,0.000,0.000,,
AUS_NZLZ,2050,CL,0.000,0.000,0.000,,
AUS_NZLZ,2050,FRS,0.000,0.000,0.000,,
AUS_NZLZ,2050,GL,0.000,0.000,0.000,,
AUS_NZLZ,2100,CL,0.000,0.000,0.000,,
AUS_NZLZ,2100,FRS,0.000,0.000,0.000,,
AUS_NZLZ,2100,GL,0.000,0.000,0.000,,
AUT_DANU,2005,CL,555.530,589.655,34.125,8376.130072407734,0.004
AUT_DANU,2005,FRS,1712.808,1708.304,-4.503,8376.130072407734,-0.001
AUT_DANU,2005,GL,737.805,510.882,-226.923,8376.130072407734,-0.027
AUT_DANU,2050,CL,626.650,651.378,24.729,8376.130072407734,0.003
AUT_DANU,2050,FRS,1671.478,1707.836,36.358,8376.130072407734,0.004
AUT_DANU,2050,GL,640.394,329.135,-311.259,8376.130072407734,-0.037
AUT_DANU,2100,CL,1348.224,641.572,-706.652,8376.130072407734,-0.084
AUT_DANU,2100,FRS,1354.421,1763.401,408.980,8376.130072407734,0.049
AUT_DANU,2100,GL,123.149,118.653,-4.496,8376.130072407734,-0.001
AZE_CSSW,2005,CL,1209.200,1089.614,-119.586,8561.22013679014,-0.014
AZE_CSSW,2005,FRS,243.407,370.462,127.055,8561.22013679014,0.015
AZE_CSSW,2005,GL,1913.548,1867.830,-45.717,8561.22013679014,-0.005
AZE_CSSW,2050,CL,1134.626,1029.272,-105.354,8561.22013679014,-0.012
AZE_CSSW,2050,FRS,234.495,379.491,144.996,8561.22013679014,0.017
AZE_CSSW,2050,GL,1855.271,1760.916,-94.356,8561.22013679014,-0.011
AZE_CSSW,2100,CL,1083.457,1019.892,-63.565,8561.22013679014,-0.007
AZE_CSSW,2100,FRS,245.803,391.026,145.223,8561.22013679014,0.017
AZE_CSSW,2100,GL,1631.916,1499.801,-132.116,8561.22013679014,-0.015
BDI_NILE,2005,CL,412.683,274.089,-138.594,1347.935631286096,-0.103
BDI_NILE,2005,FRS,139.311,125.399,-13.912,1347.935631286096,-0.010
BDI_NILE,2005,GL,101.019,111.751,10.732,1347.935631286096,0.008
BDI_NILE,2050,CL,408.381,277.566,-130.816,1347.935631286096,-0.097
BDI_NILE,2050,FRS,88.387,16.771,-71.616,1347.935631286096,-0.053
BDI_NILE,2050,GL,148.317,276.428,128.111,1347.935631286096,0.095
BDI_NILE,2100,CL,393.741,251.049,-142.692,1347.935631286096,-0.106
BDI_NILE,2100,FRS,97.447,14.575,-82.872,1347.935631286096,-0.061
BDI_NILE,2100,GL,120.061,302.701,182.640,1347.935631286096,0.135
