variable,basin,year,area
basin_forest,KGZ_LKBH,2005,17.909691064945367
basin_forest,CHN_HHEE,2005,990.5814176306787
basin_forest,PRT_SPAC,2005,559.0849403737022
basin_forest,TUR_BSSC,2005,1173.874895933545
basin_forest,GEO_CSSW,2005,1300.7506879456107
basin_forest,TKM_CSEC,2005,3430.336963737986
basin_forest,UZB_SYRD,2005,224.88867775326858
basin_forest,KGZ_TARI,2005,314.5381887508577
basin_forest,PRT_DOUR,2005,543.0321335245704
basin_forest,ESP_SSEC,2005,256.50757279960237
basin_forest,ALB_AGBS,2005,742.9414125680835
basin_forest,MKD_AGBS,2005,292.8789948171286
basin_forest,GRC_AGBS,2005,639.4627875733677
basin_forest,TUR_CSSW,2005,225.75995070451927
basin_forest,PRK_BHKN,2005,2180.1271868963477
basin_forest,PRK_NSKU,2005,5098.976086198605
basin_forest,ESP_TAGU,2005,3.8178485051445588
basin_forest,ITA_MSII,2005,148.86657151385276
basin_forest,AZE_CSSW,2005,243.4072328941864
basin_forest,PRT_TAGU,2005,285.3179290157701
basin_forest,ARM_CSSW,2005,202.55853231467717
basin_forest,TUR_MSEC,2005,160.93909743573272
basin_forest,TUR_TIEU,2005,411.38522339940715
basin_forest,TJK_SYRD,2005,57.8565242469839
basin_forest,ESP_GUAD,2005,0.0
basin_forest,IRN_CSSW,2005,396.891366122067
basin_forest,PRT_GUAD,2005,0.0
basin_forest,TJK_AMDA,2005,3365.162247822923
basin_forest,ESP_GUDA,2005,0.0
basin_forest,TKM_AMDA,2005,163.48638927826713
basin_forest,IRN_TIEU,2005,458.5414456938313
basin_forest,KOR_NSKU,2005,6723.898161409504
basin_forest,USA_GFCO,2005,3594.3004425432337
basin_forest,IRN_CSEC,2005,803.9829391703829
basin_forest,AFG_AMDA,2005,481.9613531142913
basin_forest,CHN_CHIN,2005,19939.773646849826
basin_forest,DZA_MSCC,2005,229.03384391290948
basin_forest,TUN_MSCC,2005,243.51852530616455
basin_forest,SYR_TIEU,2005,0.0
basin_forest,IRQ_TIEU,2005,873.2928431076369
basin_forest,IRN_CIRA,2005,4024.7877557047373
basin_forest,PAK_INDU,2005,1778.100144179357
basin_forest,MLT_MSII,2005,0.0
basin_forest,SYR_EJSS,2005,1.125998717357651
basin_forest,MAR_MSCC,2005,625.6879289466812
basin_forest,DZA_ANIN,2005,890.6210204750763
basin_forest,SYR_MSEC,2005,5.23047225274342
basin_forest,AFG_CSEC,2005,0.0
basin_forest,AFG_INDU,2005,501.9785109322752
basin_forest,CHN_YANG,2005,113788.72987254098
basin_forest,MAR_ANWC,2005,3003.8115070924055
basin_forest,CYP_MSEC,2005,0.0
basin_forest,IND_INDU,2005,1474.3857925862828
basin_forest,TUN_ANIN,2005,351.924193778219
basin_forest,AFG_HELM,2005,10.48634819268222
basin_forest,LBN_MSEC,2005,93.71894668906074
basin_forest,AFG_FARA,2005,11.840649242604457
basin_forest,MAR_ANIN,2005,838.9084952322078
basin_forest,LBY_MSCC,2005,82.87264530396928
basin_forest,ISR_MSEC,2005,0.0
basin_forest,PSE_MSEC,2005,35.391700947595695
basin_forest,SYR_DEAS,2005,8.235023275602055
basin_forest,JOR_EJSS,2005,50.712841146303056
basin_forest,MEX_BJCA,2005,0.0
basin_forest,MEX_MNCW,2005,286.55746174284775
basin_forest,LBY_ANIN,2005,62.758815520192194
basin_forest,PSE_DEAS,2005,2.7733634734026014
basin_forest,SAU_RSEE,2005,639.8817106456668
basin_forest,SAU_ARPA,2005,1237.6893696801899
basin_forest,EGY_ANIN,2005,178.54890590159653
basin_forest,EGY_NILE,2005,52.20076004933478
basin_forest,EGY_ARGA,2005,0.0
basin_forest,JOR_DEAS,2005,0.0
basin_forest,IND_GABR,2005,16269.74372980382
basin_forest,MEX_RGBV,2005,4.399818421245673
basin_forest,IRN_PGCO,2005,2265.26340333217
basin_forest,IND_SABA,2005,65.10750328695642
basin_forest,JOR_SIPE,2005,0.0
basin_forest,KWT_TIEU,2005,74.66740457729334
basin_forest,PAK_HAMU,2005,0.0
basin_forest,NPL_GABR,2005,9367.01152715832
basin_forest,ISR_DEAS,2005,0.0
basin_forest,PAK_SABA,2005,0.16138207591319062
basin_forest,KWT_ARPA,2005,0.0
basin_forest,MMR_IRRA,2005,24672.32118708601
basin_forest,MEX_MCIN,2005,0.0
basin_forest,BTN_GABR,2005,2424.0676684666
basin_forest,MMR_SALW,2005,7942.148341103938
basin_forest,MRT_ANIN,2005,167.36209472852735
basin_forest,PAK_ASAC,2005,0.0
basin_forest,BHS_CARI,2005,369.6275951809941
basin_forest,BHR_ARPA,2005,0.0
basin_forest,QAT_ARPA,2005,0.0
basin_forest,OMN_ARPA,2005,271.5339391170587
basin_forest,MEX_RIVE,2005,1372.6015157713086
basin_forest,MRT_ANWC,2005,62.41226774558914
basin_forest,ARE_ARPA,2005,0.0
basin_forest,BGD_GABR,2005,1771.1972107519355
basin_forest,DZA_NIGE,2005,0.0
basin_forest,MLI_ANIN,2005,6110.52749510497
basin_forest,NER_LCHA,2005,631.7301608301676
basin_forest,IND_GODA,2005,842.1502511169049
basin_forest,MEX_RLER,2005,94.60994874616179
basin_forest,CUB_CARI,2005,0.0
basin_forest,TCD_LCHA,2005,4709.875459004685
basin_forest,TCD_ANIN,2005,818.0969497459436
basin_forest,MMR_BBCN,2005,3136.223383013928
basin_forest,VNM_HRIV,2005,5812.819889994154
basin_forest,HKG_CHIN,2005,9.851472506194591
basin_forest,SDN_NILE,2005,11712.7316866012
basin_forest,BGD_BBCN,2005,451.95696272561787
basin_forest,LAO_MEKO,2005,11194.57975486367
basin_forest,VNM_MEKO,2005,2030.3977289680442
basin_forest,MAC_XJIA,2005,0.0
basin_forest,MEX_RIBA,2005,4592.295503416071
basin_forest,MEX_YUPA,2005,4496.476701825133
basin_forest,TCA_CARI,2005,0.0
basin_forest,NER_NIGE,2005,229.1376657209591
basin_forest,SDN_ANIN,2005,6944.980036170823
basin_forest,SDN_ARGA,2005,851.6909840313295
basin_forest,VNM_VNCO,2005,9696.871380516159
basin_forest,IND_KRIS,2005,5584.63403644438
basin_forest,MMR_SITT,2005,3950.6516277657283
basin_forest,PHL_PHIL,2005,13102.624006084192
basin_forest,HTI_CARI,2005,515.9666002849506
basin_forest,MLI_NIGE,2005,5305.0950245136
basin_forest,THA_MEKO,2005,3953.524682973538
basin_forest,LAO_VNCO,2005,623.9170000125034
basin_forest,CYM_CARI,2005,0.0
basin_forest,DOM_CARI,2005,1284.870377028108
basin_forest,MRT_SENE,2005,4.310002860033247
basin_forest,SDN_LCHA,2005,175.1734078712786
basin_forest,THA_CHAO,2005,646.8065111359338
basin_forest,JAM_CARI,2005,533.4597344902788
basin_forest,PRI_CARI,2005,0.0
basin_forest,VGB_CARI,2005,0.0
basin_forest,YEM_ARPA,2005,19.79175736630503
basin_forest,MNP_NMIG,2005,0.0
