region,year,type,region_value,basin_value,diff_region-basin,area,diff/area
MEX_RLER,2050,FRS,1118.644,10.395,1108.249,13115.645,0.084
TCD_LCHA,2050,FRS,63.972,2063.880,-1999.908,115635.768,-0.017
TCD_ANIN,2050,FRS,0.000,951.657,-951.657,11438.277,-0.083
MMR_BBCN,2050,FRS,2386.430,3711.816,-1325.386,5401.920,-0.245
VNM_HRIV,2050,FRS,3549.192,5620.098,-2070.906,10369.393,-0.200
HKG_CHIN,2050,FRS,2.131,0.406,1.725,100.929,0.017
SDN_NILE,2050,FRS,72.770,11518.316,-11445.547,134623.324,-0.085
BGD_BBCN,2050,FRS,380.774,748.845,-368.071,1705.599,-0.216
LAO_MEKO,2050,FRS,11002.064,15163.100,-4161.036,20755.387,-0.200
VNM_MEKO,2050,FRS,1883.478,2148.343,-264.866,6828.536,-0.039
MEX_RIBA,2050,FRS,6933.709,4392.877,2540.832,35866.093,0.071
MEX_YUPA,2050,FRS,10593.551,3668.565,6924.986,22128.462,0.313
NER_NIGE,2050,FRS,0.000,233.831,-233.831,49446.046,-0.005
SDN_ANIN,2050,FRS,0.000,5136.987,-5136.987,31310.518,-0.164
SDN_ARGA,2050,FRS,0.000,767.185,-767.185,9562.165,-0.080
VNM_VNCO,2050,FRS,7808.457,6600.109,1208.348,15694.099,0.077
IND_KRIS,2050,FRS,4415.896,3888.742,527.154,64108.838,0.008
MMR_SITT,2050,FRS,2515.416,2995.937,-480.521,5892.945,-0.082
PHL_PHIL,2050,FRS,10026.649,11183.281,-1156.632,28912.620,-0.040
HTI_CARI,2050,FRS,172.396,349.169,-176.773,2679.055,-0.066
MLI_NIGE,2050,FRS,0.000,3106.920,-3106.920,57541.671,-0.054
THA_MEKO,2050,FRS,7193.965,2778.640,4415.325,18765.422,0.235
LAO_VNCO,2050,FRS,603.896,1378.609,-774.713,2127.747,-0.364
DOM_CARI,2050,FRS,867.250,1184.056,-316.807,4836.267,-0.066
MRT_SENE,2050,FRS,0.000,7.039,-7.039,19743.151,-0.000
SDN_LCHA,2050,FRS,0.000,111.088,-111.088,9792.472,-0.011
THA_CHAO,2050,FRS,7003.686,408.775,6594.911,17740.355,0.372
JAM_CARI,2050,FRS,237.517,508.099,-270.581,1094.390,-0.247
BLZ_YUPA,2050,FRS,1060.991,1003.284,57.707,2212.985,0.026
GTM_GRIJ,2050,FRS,980.505,1776.105,-795.600,4834.853,-0.165
GTM_YUPA,2050,FRS,1421.231,956.536,464.695,3654.843,0.127
HND_SCAM,2050,FRS,5291.314,6253.998,-962.684,11227.149,-0.086
SEN_SENE,2050,FRS,0.000,658.626,-658.626,7704.312,-0.085
THA_PMAL,2050,FRS,7442.521,4973.993,2468.528,11521.452,0.214
SEN_AFWC,2050,FRS,365.669,1059.127,-693.458,11970.100,-0.058
